ISO code,Data Awal,Country and areas,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GNQ,"GNQ (Equatorial Guinea): Longitude (lon) = 10,2679; Latitude (lat) = 1,6508",Equatorial Guinea,Stunting,Proportion,Point Estimate,39,38,37,36,35,35,34,33,31,30,28,27,25,24,23,22,21,20,19,18,17,17,16
LKA,"LKA (Sri Lanka): Longitude (lon) = 80,7718; Latitude (lat) = 7,8731",Sri Lanka,Stunting,Proportion,Point Estimate,20,19,19,19,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,16,16
NIC,"NIC (Nicaragua): Longitude (lon) = -85,2072; Latitude (lat) = 12,8654",Nicaragua,Stunting,Proportion,Point Estimate,26,25,24,23,22,22,21,20,20,19,18,18,17,17,17,16,16,16,16,16,15,15,15
NRU,"NRU (Nauru): Longitude (lon) = 166,9326; Latitude (lat) = -0,5228",Nauru,Stunting,Proportion,Point Estimate,25,26,26,26,26,26,25,25,24,24,23,22,21,20,19,19,18,18,17,17,16,15,15
KIR,"KIR (Kiribati): Longitude (lon) = 169,1320; Latitude (lat) = 1,8707",Kiribati,Stunting,Proportion,Point Estimate,20,20,20,19,19,19,19,18,18,18,17,17,16,16,16,16,16,15,15,15,15,15,14
MDV,"MDV (Maldives): Longitude (lon) = 73,2207; Latitude (lat) = 3,2028",Maldives,Stunting,Proportion,Point Estimate,34,33,31,30,28,26,25,23,21,19,18,17,16,16,16,16,15,15,15,15,14,14,14
PAN,"PAN (Panama): Longitude (lon) = -80,7821; Latitude (lat) = 8,5380",Panama,Stunting,Proportion,Point Estimate,18,19,19,20,20,21,21,22,22,21,21,21,20,19,19,18,17,17,16,15,15,14,14
GMB,"GMB (Gambia): Longitude (lon) = -15,3101; Latitude (lat) = 13,4432",Gambia,Stunting,Proportion,Point Estimate,28,28,28,27,27,27,27,27,26,25,24,23,22,21,21,20,19,18,17,16,15,14,14
GAB,"GAB (Gabon): Longitude (lon) = 11,6094; Latitude (lat) = -0,8037",Gabon,Stunting,Proportion,Point Estimate,26,25,25,24,24,23,23,22,21,20,19,18,17,17,16,16,16,15,15,15,14,14,13
AZE,"AZE (Azerbaijan): Longitude (lon) = 47,5769; Latitude (lat) = 40,1431",Azerbaijan,Stunting,Proportion,Point Estimate,24,24,25,24,24,24,23,22,21,20,19,18,17,17,16,16,15,15,15,14,14,14,13
TJK,"TJK (Tajikistan): Longitude (lon) = 71,2761; Latitude (lat) = 38,8610",Tajikistan,Stunting,Proportion,Point Estimate,41,41,40,39,38,37,36,34,32,31,29,27,26,24,23,21,20,18,17,16,15,14,13
MAR,"MAR (Morocco): Longitude (lon) = -7,0926; Latitude (lat) = 31,7917",Morocco,Stunting,Proportion,Point Estimate,25,24,23,22,21,20,20,19,18,18,17,16,16,15,15,15,15,14,14,14,13,13,13
GHA,"GHA (Ghana): Longitude (lon) = -1,0232; Latitude (lat) = 7,2509",Ghana,Stunting,Proportion,Point Estimate,33,32,32,32,31,30,30,29,28,26,25,23,22,21,20,19,18,17,16,15,14,13,13
OMN,"OMN (Oman): Longitude (lon) = 56,2430; Latitude (lat) = 21,5126",Oman,Stunting,Proportion,Point Estimate,15,14,13,13,12,12,12,12,12,11,11,11,11,11,11,12,12,12,12,13,13,13,13
MEX,"MEX (Mexico): Longitude (lon) = -102,5528; Latitude (lat) = 23,6345",Mexico,Stunting,Proportion,Point Estimate,20,20,19,18,18,17,16,16,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13
SAU,"SAU (Saudi Arabia): Longitude (lon) = 45,0792; Latitude (lat) = 23,8859",Saudi Arabia,Stunting,Proportion,Point Estimate,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12
UKR,"UKR (Ukraine): Longitude (lon) = 31,1656; Latitude (lat) = 48,3794",Ukraine,Stunting,Proportion,Point Estimate,23,23,22,22,22,21,21,20,20,19,19,18,18,18,17,17,17,17,16,16,15,14,12
BLZ,"BLZ (Belize): Longitude (lon) = -88,7101; Latitude (lat) = 17,1899",Belize,Stunting,Proportion,Point Estimate,23,24,24,24,23,23,22,22,21,20,19,18,18,17,16,15,15,14,14,13,13,12,12
THA,"THA (Thailand): Longitude (lon) = 100,9925; Latitude (lat) = 15,8700",Thailand,Stunting,Proportion,Point Estimate,16,16,16,16,16,16,16,16,16,16,15,15,14,14,13,13,13,13,12,12,12,12,12
COL,"COL (Colombia): Longitude (lon) = -74,2973; Latitude (lat) = 4,5709",Colombia,Stunting,Proportion,Point Estimate,17,17,17,17,16,16,15,15,14,14,13,13,13,13,12,12,12,12,12,12,12,11,11
